Date,Open,High,Low,Close,Volume,Adj Close
2000-02-05,1044.48,1046.76,1043.76,1045.32,7166,1045.32
2000-02-06,1046.74,1048.61,1045.71,1047.51,6030,1047.51
2000-02-07,1055.5,1057.77,1053.59,1056.47,4369,1056.47
2000-02-08,1057.61,1058.08,1056.64,1057.73,9629,1057.73
2000-02-09,1054.34,1057.56,1053.39,1055.97,5128,1055.97
2000-02-10,1053.46,1054.82,1052.0,1053.78,5091,1053.78
2000-02-11,1053.55,1054.82,1049.5,1053.83,3676,1053.83
2000-02-12,1055.14,1056.44,1054.13,1056.44,2599,1056.44
2000-02-13,1055.53,1056.84,1052.0,1056.14,2478,1056.14
2000-02-14,1059.04,1061.1,1056.0,1058.31,7533,1058.31
2000-02-15,1057.12,1058.67,1055.26,1057.03,1482,1057.03
2000-02-16,1054.85,1057.35,1051.59,1052.71,4119,1052.71
2000-02-17,1053.69,1056.56,1051.36,1053.7,3036,1053.7
2000-02-18,1054.73,1055.93,1054.15,1054.15,5227,1054.15
2000-02-19,1056.27,1058.74,1052.0,1053.34,4696,1053.34
2000-02-20,1054.66,1055.9,1053.92,1053.92,3821,1053.92
2000-02-21,1055.79,1057.18,1054.0,1056.26,6625,1056.26
2000-02-22,1057.1,1058.22,1055.61,1058.02,4958,1058.02
2000-02-23,1058.89,1060.07,1057.8,1058.59,4564,1058.59
2000-02-24,1061.2,1062.82,1058.59,1061.23,6363,1061.23
2000-02-25,1060.77,1061.66,1060.58,1061.66,3363,1061.66
2000-02-26,1065.34,1067.77,1063.03,1066.53,6248,1066.53
2000-02-27,1067.78,1069.58,1066.77,1066.77,6950,1066.77
2000-02-28,1066.06,1066.7,1065.21,1065.21,3355,1065.21
2000-02-29,1065.82,1066.84,1064.88,1066.17,2103,1066.17
2000-03-01,1063.0,1065.21,1062.38,1065.21,6715,1065.21
2000-03-02,1064.88,1066.89,1064.45,1064.45,5645,1064.45
2000-03-03,1063.05,1066.12,1062.84,1063.66,6380,1063.66
2000-03-04,1062.97,1062.99,1061.81,1061.81,5049,1061.81
2000-03-05,1063.53,1065.45,1059.22,1062.38,6744,1062.38
2000-03-06,1063.29,1063.29,1060.87,1061.61,3801,1061.61
2000-03-07,1057.1,1058.62,1056.8,1057.62,8752,1057.62
2000-03-08,1059.23,1061.02,1057.25,1057.25,8662,1057.25
2000-03-09,1059.37,1062.8,1056.66,1059.2,7475,1059.2
2000-03-10,1055.71,1055.72,1055.04,1055.04,6245,1055.04
2000-03-11,1052.83,1053.9,1051.8,1053.9,2750,1053.9
2000-03-12,1051.47,1053.79,1049.97,1053.79,5231,1053.79
2000-03-13,1056.19,1060.31,1052.68,1055.81,6943,1055.81
2000-03-14,1057.79,1059.72,1056.42,1059.38,1482,1059.38
2000-03-15,1055.99,1058.24,1054.56,1058.24,5148,1058.24
2000-03-16,1060.81,1064.22,1060.7,1061.39,4934,1061.39
2000-03-17,1057.21,1059.82,1055.87,1057.76,3120,1057.76
2000-03-18,1056.2,1056.33,1054.29,1054.72,6008,1054.72
2000-03-19,1053.26,1053.48,1051.19,1052.43,2604,1052.43
2000-03-20,1056.38,1057.78,1055.95,1056.21,4558,1056.21
2000-03-21,1057.82,1058.88,1056.67,1057.41,396,1057.41
2000-03-22,1055.06,1058.35,1054.56,1055.93,5622,1055.93
2000-03-23,1062.64,1062.9,1060.23,1060.23,5406,1060.23
2000-03-24,1058.01,1060.54,1055.85,1060.54,6763,1060.54
2000-03-25,1061.26,1063.55,1059.54,1063.55,6077,1063.55
2000-03-26,1061.38,1063.13,1058.61,1062.77,8818,1062.77
2000-03-27,1060.25,1061.55,1059.28,1059.36,3272,1059.36
2000-03-28,1059.05,1059.59,1058.69,1058.69,3184,1058.69
2000-03-29,1057.91,1058.91,1055.96,1058.06,6502,1058.06
2000-03-30,1054.99,1056.32,1053.85,1053.85,1390,1053.85
2000-03-31,1050.62,1051.58,1048.81,1051.58,1676,1051.58
2000-04-01,1050.84,1052.14,1049.55,1049.55,4230,1049.55
2000-04-02,1051.27,1052.94,1049.01,1052.07,7883,1052.07
2000-04-03,1046.72,1047.88,1046.32,1047.28,3792,1047.28
2000-04-04,1047.38,1049.71,1046.87,1047.88,4176,1047.88
2000-04-05,1046.69,1047.48,1045.85,1047.13,9150,1047.13
2000-04-06,1048.7,1051.11,1045.65,1045.65,2983,1045.65
2000-04-07,1041.73,1042.22,1038.38,1042.22,4561,1042.22
2000-04-08,1042.77,1043.25,1040.56,1040.56,7287,1040.56
2000-04-09,1041.03,1042.29,1036.48,1041.3,5496,1041.3
2000-04-10,1039.95,1041.62,1038.24,1040.06,4044,1040.06
2000-04-11,96.0,97.0,92.89,94.98,4460,94.98
2000-04-12,92.8,93.55,91.29,91.42,6739,91.42
2000-04-13,94.34,98.09,92.47,92.47,1442,92.47
2000-04-14,99.95,101.91,99.78,97.75,2749,97.75
2000-04-15,102.71,103.43,101.25,103.43,5447,103.43
2000-04-16,102.08,105.85,99.39,104.47,3977,104.47
2000-04-17,102.43,102.54,99.89,99.89,8059,99.89
2000-04-18,99.36,101.39,96.05,100.6,5146,100.6
2000-04-19,97.37,98.04,94.03,96.98,1993,96.98
2000-04-20,96.35,101.75,96.01,96.01,6392,96.01
2000-04-21,100.27,104.13,98.05,104.13,5118,104.13
2000-04-22,104.14,104.54,103.28,103.28,3906,103.28
2000-04-23,102.94,104.37,102.56,102.56,8007,102.56
2000-04-24,97.81,100.3,93.66,97.29,4257,97.29
2000-04-25,94.09,96.31,90.58,95.49,7543,95.49
2000-04-26,96.37,97.42,94.54,94.54,6425,94.54
2000-04-27,93.34,94.46,91.2,93.43,4278,93.43
2000-04-28,95.21,96.44,94.02,94.74,5652,94.74
2000-04-29,92.7,94.28,91.66,94.28,3591,94.28
2000-04-30,90.68,93.31,88.12,93.31,836,93.31
2000-05-01,96.81,97.41,95.72,97.41,4924,97.41
2000-05-02,99.67,99.97,98.95,99.59,5615,99.59
2000-05-03,95.49,96.98,95.15,95.22,5036,95.22
2000-05-04,95.64,97.2,94.18,94.18,5816,94.18
2000-05-05,91.28,92.76,90.77,92.76,8330,92.76
2000-05-06,93.87,96.43,92.62,93.91,6035,93.91
2000-05-07,92.55,94.06,90.44,90.44,3153,90.44
2000-05-08,87.25,91.2,85.35,91.2,5986,91.2
2000-05-09,91.14,92.54,89.98,91.32,10120,91.32
2000-05-10,91.7,94.36,91.63,94.36,3746,94.36
2000-05-11,98.34,99.8,97.07,99.8,6243,99.8
2000-05-12,96.29,97.22,96.14,97.22,5355,97.22
2000-05-13,94.74,96.36,93.62,96.36,6667,96.36
2000-05-14,97.25,100.57,96.39,97.56,5543,97.56
2000-05-15,94.46,96.57,94.38,95.49,5056,95.49
2000-05-16,96.01,97.05,95.32,95.32,4131,95.32
2000-05-17,94.81,95.77,92.3,93.47,4626,93.47
2000-05-18,93.32,93.71,91.09,91.09,5534,91.09
2000-05-19,92.91,95.04,91.87,95.02,9597,95.02
2000-05-20,94.07,96.98,90.91,93.29,4159,93.29
2000-05-21,92.05,93.89,90.05,90.9,4930,90.9
2000-05-22,92.15,94.14,90.18,91.82,4901,91.82
2000-05-23,92.61,93.38,92.28,93.35,5578,93.35
2000-05-24,97.94,99.01,96.7,97.11,3725,97.11
2000-05-25,103.06,107.32,98.5,101.39,5942,101.39
2000-05-26,100.6,102.92,97.57,102.92,8591,102.92
2000-05-27,101.5,102.49,100.84,102.49,9020,102.49
2000-05-28,101.74,104.5,100.28,101.69,8589,101.69
2000-05-29,100.77,104.56,98.39,104.56,3938,104.56
2000-05-30,104.1,105.46,100.41,104.98,4281,104.98
2000-05-31,106.71,108.35,105.7,108.31,7338,108.31
2000-06-01,111.4,113.21,111.11,113.21,3366,113.21
2000-06-02,113.75,114.04,111.19,114.04,5092,114.04
2000-06-03,111.69,112.98,107.36,111.23,5438,111.23
2000-06-04,112.52,113.43,111.96,113.43,5373,113.43
2000-06-05,112.63,114.78,110.58,112.83,3599,112.83
2000-06-06,114.46,116.81,113.71,116.81,4868,116.81
2000-06-07,116.64,119.53,112.24,117.3,3995,117.3
2000-06-08,115.61,116.1,113.69,113.69,6744,113.69
2000-06-09,114.94,118.63,112.65,112.65,3616,112.65
2000-06-10,112.68,113.17,110.81,110.81,7887,110.81
2000-06-11,111.2,112.05,110.29,112.05,5895,112.05
2000-06-12,114.0,114.4,112.59,113.87,7880,113.87
2000-06-13,113.42,113.61,110.56,113.61,3637,113.61
2000-06-14,114.96,115.86,111.19,114.29,152,114.29
2000-06-15,111.5,113.07,110.05,110.05,4904,110.05
2000-06-16,109.46,112.47,107.71,109.13,5053,109.13
2000-06-17,108.53,109.02,107.02,107.02,4437,107.02
2000-06-18,110.94,113.04,109.79,113.04,6849,113.04
2000-06-19,112.83,114.23,112.05,114.18,6270,114.18
2000-06-20,116.01,119.12,115.61,119.12,3621,119.12
2000-06-21,122.69,124.0,121.72,122.21,5848,122.21
2000-06-22,122.97,125.56,118.69,125.56,5872,125.56
2000-06-23,125.7,126.93,123.65,125.31,1662,125.31
2000-06-24,126.43,127.4,123.29,124.6,2071,124.6
2000-06-25,125.57,128.94,124.65,127.19,4922,127.19
2000-06-26,127.28,129.5,124.13,129.5,7760,129.5
2000-06-27,128.44,129.43,127.62,127.62,3656,127.62
2000-06-28,128.15,129.31,127.41,129.31,697,129.31
2000-06-29,130.74,131.46,128.5,128.8,7321,128.8
2000-06-30,128.04,128.15,127.08,128.15,2434,128.15
2000-07-01,129.9,133.01,129.04,132.15,6700,132.15
2000-07-02,131.28,131.92,127.12,131.85,5860,131.85
2000-07-03,134.03,134.55,133.64,133.92,4925,133.92
2000-07-04,135.4,136.87,135.24,135.52,1003,135.52
2000-07-05,137.53,140.66,131.73,140.66,4720,140.66
2000-07-06,142.35,143.58,140.25,141.42,8828,141.42
2000-07-07,141.15,142.89,140.15,141.37,5729,141.37
2000-07-08,146.15,147.81,144.05,147.81,7374,147.81
2000-07-09,148.51,151.78,146.22,148.97,3491,148.97
2000-07-10,149.0,151.42,148.16,151.42,5907,151.42
2000-07-11,151.42,153.8,148.96,152.31,6402,152.31
2000-07-12,152.41,152.71,152.15,152.15,5031,152.15
2000-07-13,149.24,152.42,147.54,147.75,693,147.75
2000-07-14,145.81,149.09,143.79,144.78,9504,144.78
2000-07-15,146.58,151.58,142.0,144.49,1709,144.49
2000-07-16,147.76,150.53,146.63,148.65,6706,148.65
2000-07-17,150.31,150.52,149.18,149.18,4438,149.18
2000-07-18,145.74,147.72,143.54,146.01,7784,146.01
2000-07-19,147.06,149.04,145.18,145.59,4550,145.59
2000-07-20,146.21,146.42,143.54,145.3,5639,145.3
2000-07-21,142.34,142.67,141.23,142.67,7728,142.67
2000-07-22,142.71,142.95,141.62,142.78,5081,142.78
2000-07-23,141.05,143.85,137.55,139.18,3614,139.18
2000-07-24,138.19,138.78,135.7,137.18,5557,137.18
2000-07-25,136.58,138.96,135.96,137.54,5827,137.54
2000-07-26,137.1,138.55,136.81,138.55,9421,138.55
2000-07-27,136.75,136.92,131.59,135.54,8278,135.54
2000-07-28,138.62,139.76,135.36,138.05,4592,138.05
2000-07-29,136.38,137.68,133.93,136.43,3460,136.43
2000-07-30,136.12,136.78,133.13,133.13,5748,133.13
2000-07-31,134.98,138.32,133.92,133.92,4888,133.92
2000-08-01,135.08,136.15,133.24,135.33,2172,135.33
2000-08-02,134.66,136.29,132.18,136.29,6218,136.29
2000-08-03,133.95,137.43,133.67,137.43,5786,137.43
2000-08-04,137.66,138.72,137.35,138.72,6913,138.72
2000-08-05,136.48,140.16,134.83,134.83,694,134.83
2000-08-06,136.85,136.98,135.18,136.98,4802,136.98
2000-08-07,138.67,139.2,137.67,137.67,6984,137.67
2000-08-08,136.94,138.01,135.14,136.98,4981,136.98
2000-08-09,139.39,141.48,137.75,141.48,6115,141.48
2000-08-10,140.84,142.97,139.93,139.93,4626,139.93
2000-08-11,140.3,140.44,139.33,140.4,1049,140.4
2000-08-12,138.45,140.87,137.25,140.75,7437,140.75
2000-08-13,141.06,141.36,140.14,140.14,4395,140.14
2000-08-14,139.45,140.11,139.45,140.11,7381,140.11
2000-08-15,141.27,146.37,139.21,139.21,4550,139.21
2000-08-16,135.97,137.06,134.46,135.11,182,135.11
2000-08-17,134.21,137.17,133.85,134.19,6158,134.19
2000-08-18,133.94,136.34,133.62,133.9,3133,133.9
2000-08-19,132.57,132.92,129.15,130.51,1772,130.51
2000-08-20,133.35,134.69,131.27,132.44,8652,132.44
2000-08-21,133.56,137.87,132.34,134.67,5598,134.67
2000-08-22,138.05,138.74,136.55,138.74,3644,138.74
2000-08-23,142.84,143.57,140.82,140.82,3056,140.82
2000-08-24,142.89,144.98,141.82,144.67,6437,144.67
2000-08-25,146.28,149.13,143.28,145.8,4498,145.8
2000-08-26,148.73,149.64,144.4,147.77,6855,147.77
2000-08-27,148.02,151.07,147.0,148.82,7145,148.82
2000-08-28,147.67,150.76,143.74,150.76,2793,150.76
2000-08-29,150.18,151.47,148.54,151.47,3833,151.47
2000-08-30,151.27,152.01,148.06,152.01,6469,152.01
2000-08-31,153.92,154.52,151.33,154.52,3697,154.52
2000-09-01,153.76,156.24,153.72,154.22,8404,154.22
2000-09-02,156.0,157.14,152.48,157.13,5762,157.13
2000-09-03,160.05,160.33,157.6,159.74,3298,159.74
2000-09-04,158.87,162.21,157.08,157.08,5889,157.08
2000-09-05,159.16,159.43,157.99,157.99,6296,157.99
2000-09-06,157.96,159.73,157.08,159.04,4254,159.04
2000-09-07,162.29,162.74,160.17,160.17,1478,160.17
2000-09-08,157.75,158.85,152.63,156.9,5369,156.9
2000-09-09,160.99,165.11,158.57,162.52,6185,162.52
2000-09-10,163.8,165.44,163.55,163.55,4093,163.55
2000-09-11,165.42,165.6,162.46,163.71,4612,163.71
2000-09-12,161.34,163.61,161.1,163.61,6261,163.61
2000-09-13,158.49,164.05,79.0,159.65,4547,159.65
2000-09-14,157.55,159.86,153.78,159.86,4022,159.86
2000-09-15,157.69,161.23,157.05,157.47,4067,157.47
2000-09-16,154.54,155.6,150.23,150.23,4944,150.23
2000-09-17,154.61,155.52,153.4,155.31,3003,155.31
2000-09-18,156.3,158.75,155.99,155.99,3244,155.99
2000-09-19,154.22,154.96,152.4,153.02,7985,153.02
2000-09-20,152.47,153.96,147.62,153.79,6473,153.79
2000-09-21,153.26,154.29,150.14,152.47,6588,152.47
2000-09-22,150.11,152.82,149.17,150.05,1769,150.05
2000-09-23,152.02,153.74,151.61,153.74,2968,153.74
2000-09-24,154.08,155.46,153.53,153.53,3344,153.53
2000-09-25,153.16,159.01,152.29,154.52,274,154.52
2000-09-26,152.81,156.92,151.72,151.72,4634,151.72
2000-09-27,154.14,155.74,152.71,152.71,5245,152.71
2000-09-28,156.12,156.63,153.78,153.78,6766,153.78
2000-09-29,153.53,159.92,152.41,152.41,4147,152.41
2000-09-30,154.76,157.64,152.92,153.76,8746,153.76
2000-10-01,155.69,158.26,155.56,156.97,5969,156.97
2000-10-02,154.96,157.02,154.29,154.35,3089,154.35
2000-10-03,156.23,158.37,156.18,158.35,4840,158.35
2000-10-04,158.72,160.2,158.35,160.2,7374,160.2
2000-10-05,165.67,166.32,165.14,165.14,5676,165.14
2000-10-06,164.63,167.27,162.62,166.34,7634,166.34
2000-10-07,165.05,166.26,162.45,165.01,3001,165.01
2000-10-08,164.42,165.52,163.87,163.87,4216,163.87
2000-10-09,162.84,165.12,160.4,165.12,6996,165.12
2000-10-10,164.46,164.94,162.65,164.94,2641,164.94
2000-10-11,167.09,167.49,166.52,166.7,6173,166.7
2000-10-12,166.18,169.09,165.93,169.09,2999,169.09
2000-10-13,167.99,168.73,167.29,168.73,6269,168.73
2000-10-14,171.15,174.0,169.81,174.0,4734,174.0
2000-10-15,172.61,173.88,168.26,173.88,3929,173.88
2000-10-16,173.86,174.24,172.44,173.21,6026,173.21
2000-10-17,173.06,174.69,171.19,174.69,3928,174.69
2000-10-18,176.49,180.16,175.96,175.96,4961,175.96
2000-10-19,175.76,178.99,173.65,174.16,6900,174.16
2000-10-20,177.52,179.27,177.38,179.27,3145,179.27
2000-10-21,180.23,181.73,179.85,181.73,406,181.73
2000-10-22,182.76,186.42,181.74,184.82,4725,184.82
2000-10-23,187.53,190.16,184.25,188.65,5150,188.65
2000-10-24,185.32,187.01,180.98,185.06,5246,185.06
2000-10-25,186.18,189.57,184.94,186.47,3515,186.47
2000-10-26,183.53,183.6,182.49,182.49,2187,182.49
2000-10-27,181.57,183.09,179.38,179.38,4381,179.38
2000-10-28,178.04,180.72,174.29,178.21,4679,178.21
2000-10-29,179.66,181.17,178.47,178.47,7152,178.47
2000-10-30,179.46,179.58,177.19,177.19,1393,177.19
2000-10-31,174.16,175.5,170.99,175.5,4033,175.5
2000-11-01,176.6,178.39,175.26,175.26,696,175.26
2000-11-02,173.72,175.69,173.45,173.83,4550,173.83
2000-11-03,172.62,174.73,170.44,174.73,4802,174.73
2000-11-04,175.12,175.59,173.22,175.56,3775,175.56
2000-11-05,175.71,175.92,175.39,175.39,4742,175.39
2000-11-06,171.36,171.54,169.81,169.81,7531,169.81
2000-11-07,168.57,171.23,167.27,171.23,2612,171.23
2000-11-08,173.57,174.91,170.78,173.19,5577,173.19
2000-11-09,173.65,175.27,171.02,171.02,7608,171.02
2000-11-10,168.22,170.47,166.03,167.6,2788,167.6
2000-11-11,167.02,169.11,164.39,169.11,3875,169.11
2000-11-12,167.85,170.27,165.92,170.27,2531,170.27
2000-11-13,169.07,169.71,167.45,169.71,4052,169.71
2000-11-14,169.95,169.97,169.08,169.79,4823,169.79
2000-11-15,168.92,172.12,167.8,168.48,6393,168.48
2000-11-16,168.4,169.14,168.18,169.07,1858,169.07
2000-11-17,166.22,169.56,162.75,169.56,6276,169.56
2000-11-18,169.67,170.75,168.09,168.73,4663,168.73
2000-11-19,166.8,168.3,164.65,167.16,9148,167.16
2000-11-20,164.06,166.99,161.85,166.99,2540,166.99
2000-11-21,167.75,167.97,162.47,165.5,5507,165.5
2000-11-22,166.98,167.17,166.36,166.39,5538,166.39
2000-11-23,166.01,166.75,165.26,165.97,7252,165.97
2000-11-24,164.98,167.51,163.17,164.0,3808,164.0
2000-11-25,165.68,171.96,163.57,166.02,4890,166.02
2000-11-26,166.85,168.14,165.74,166.98,4605,166.98
2000-11-27,166.58,168.85,162.17,162.17,6311,162.17
2000-11-28,162.55,163.97,160.3,163.97,3454,163.97
2000-11-29,164.3,167.06,163.05,165.6,6906,165.6
2000-11-30,166.98,168.02,165.7,167.63,6600,167.63
2000-12-01,169.73,171.34,169.03,171.34,4946,171.34
2000-12-02,169.49,170.98,168.14,169.28,3415,169.28
2000-12-03,167.72,168.14,166.49,166.49,6318,166.49
2000-12-04,167.56,169.09,166.02,166.15,6658,166.15
2000-12-05,165.63,169.64,163.77,163.77,5119,163.77
2000-12-06,165.01,167.63,158.97,165.28,8601,165.28
2000-12-07,167.87,168.85,166.25,166.41,5952,166.41
2000-12-08,167.95,173.47,167.16,167.18,4948,167.18
2000-12-09,163.3,164.12,162.25,163.53,3355,163.53
2000-12-10,165.77,166.0,165.11,166.0,6650,166.0
2000-12-11,163.94,164.55,161.25,162.71,4047,162.71
2000-12-12,164.59,164.98,162.89,164.38,5780,164.38
2000-12-13,164.31,165.47,159.43,164.11,7845,164.11
2000-12-14,166.44,168.92,166.27,166.74,3764,166.74
2000-12-15,166.41,168.82,165.74,165.74,5001,165.74
2000-12-16,166.22,170.81,164.39,164.39,3983,164.39
2000-12-17,163.87,166.77,163.21,164.32,6244,164.32
2000-12-18,162.56,162.71,160.95,160.95,1892,160.95
2000-12-19,162.78,164.58,161.04,164.46,2621,164.46
2000-12-20,167.3,168.58,166.64,168.2,3911,168.2
2000-12-21,167.9,169.9,166.42,167.13,4542,167.13
2000-12-22,163.86,165.04,159.03,165.04,4961,165.04
2000-12-23,164.52,166.19,162.16,166.19,6430,166.19
2000-12-24,167.85,168.74,166.5,168.74,4291,168.74
2000-12-25,167.64,170.74,165.16,165.44,5329,165.44
2000-12-26,165.63,167.86,165.18,167.86,1798,167.86
2000-12-27,166.15,169.44,165.8,168.65,5041,168.65
2000-12-28,168.48,169.71,167.73,168.0,7563,168.0
2000-12-29,168.56,170.27,167.56,170.27,8161,170.27
2000-12-30,167.83,170.35,167.37,168.53,6974,168.53
2000-12-31,168.22,171.36,166.55,171.36,1784,171.36
2001-01-01,172.74,172.75,172.2,172.2,4639,172.2
2001-01-02,173.84,176.91,170.99,173.44,4141,173.44
2001-01-03,173.82,174.74,169.77,171.77,5379,171.77
2001-01-04,170.66,171.4,169.38,171.4,8608,171.4
2001-01-05,171.37,173.96,169.46,172.08,7968,172.08
2001-01-06,172.64,173.54,170.14,173.54,6764,173.54
2001-01-07,172.4,172.94,171.53,172.3,9199,172.3
2001-01-08,171.63,172.93,170.14,171.36,3701,171.36
2001-01-09,174.71,176.22,170.98,176.22,3630,176.22
2001-01-10,176.82,178.6,174.4,177.92,5028,177.92
2001-01-11,175.8,177.18,175.59,176.68,8952,176.68
2001-01-12,174.36,174.57,172.37,172.37,4621,172.37
2001-01-13,174.15,177.17,171.24,174.13,2495,174.13
2001-01-14,175.3,176.14,170.09,175.6,5873,175.6
2001-01-15,177.02,179.16,175.66,178.81,1442,178.81
2001-01-16,179.2,179.36,178.47,178.47,3648,178.47
2001-01-17,177.99,180.16,176.27,176.27,6332,176.27
2001-01-18,176.33,177.69,173.94,174.86,4071,174.86
2001-01-19,176.18,178.31,174.98,178.31,8477,178.31
2001-01-20,180.31,181.93,178.65,181.09,5836,181.09
2001-01-21,184.22,187.23,182.12,182.72,4232,182.72
2001-01-22,183.98,189.96,71.25,71.25,4633,71.25
2001-01-23,72.76,73.4,69.17,73.11,5995,73.11
2001-01-24,74.65,76.33,73.42,73.81,2799,73.81
2001-01-25,75.08,76.0,71.73,75.07,6337,75.07
2001-01-26,72.7,74.09,71.0,72.26,4856,72.26
2001-01-27,69.04,70.82,67.89,69.79,5099,69.79
2001-01-28,69.48,70.87,68.63,70.21,3947,70.21
2001-01-29,66.46,67.5,64.73,67.5,4215,67.5
2001-01-30,69.92,71.74,67.19,71.74,5522,71.74
2001-01-31,71.08,74.63,69.53,69.53,2294,69.53
2001-02-01,67.04,68.3,63.98,66.24,1585,66.24
2001-02-02,64.62,64.94,63.53,64.86,6003,64.86
2001-02-03,67.82,68.54,65.17,67.2,5520,67.2
2001-02-04,64.8,65.48,64.7,64.85,3483,64.85
2001-02-05,63.92,65.7,61.15,61.15,3140,61.15
2001-02-06,57.84,58.0,54.94,56.45,2992,56.45
2001-02-07,56.9,58.35,56.08,56.08,4456,56.08
2001-02-08,60.1,62.7,58.44,61.32,2703,61.32
2001-02-09,63.72,65.97,61.89,65.25,5542,65.25
2001-02-10,66.52,68.09,63.87,68.09,7339,68.09
2001-02-11,67.61,70.68,66.58,68.47,4875,68.47
2001-02-12,70.55,71.68,68.51,70.52,4651,70.52
2001-02-13,70.78,71.05,69.13,70.13,1786,70.13
2001-02-14,74.32,76.9,72.94,73.56,5526,73.56
2001-02-15,74.04,75.6,72.65,72.66,3336,72.66
2001-02-16,72.17,73.53,69.19,71.3,5478,71.3
2001-02-17,72.53,73.26,71.05,73.26,2524,73.26
2001-02-18,75.44,76.97,75.36,76.46,4581,76.46
2001-02-19,79.79,81.36,77.03,80.25,6443,80.25
2001-02-20,80.51,83.19,79.13,79.6,8438,79.6
2001-02-21,83.21,84.3,81.49,82.62,4909,82.62
2001-02-22,81.72,81.74,80.34,80.98,7887,80.98
2001-02-23,78.87,80.06,78.31,80.06,5680,80.06
2001-02-24,81.68,82.34,80.05,80.05,3349,80.05
2001-02-25,86.57,89.28,83.93,87.3,6094,87.3
2001-02-26,88.27,88.52,87.61,88.4,561,88.4
2001-02-27,87.51,88.06,81.54,88.06,4372,88.06
2001-02-28,90.15,93.23,88.93,93.23,2738,93.23
2001-03-01,93.72,94.83,91.88,93.09,4409,93.09
2001-03-02,95.5,97.99,94.44,94.44,2482,94.44
2001-03-03,93.85,98.7,91.78,91.78,3870,91.78
2001-03-04,94.87,98.04,91.11,97.67,5779,97.67
2001-03-05,93.33,94.94,85.43,93.89,5655,93.89
2001-03-06,95.23,95.62,93.38,95.62,3209,95.62
2001-03-07,94.3,95.61,92.59,93.95,5076,93.95
2001-03-08,90.9,91.0,85.66,89.24,7928,89.24
2001-03-09,91.37,94.89,90.63,91.95,4893,91.95
2001-03-10,94.95,96.2,92.31,94.65,3399,94.65
2001-03-11,95.14,96.05,95.05,95.22,6696,95.22
2001-03-12,90.43,90.85,88.03,89.69,1246,89.69
2001-03-13,90.61,92.99,89.36,90.33,3790,90.33
2001-03-14,86.37,88.92,84.66,84.66,4597,84.66
2001-03-15,84.63,86.43,59.1,59.1,5163,59.1
2001-03-16,60.74,62.15,59.16,60.87,7820,60.87
2001-03-17,61.26,64.06,59.86,60.59,4041,60.59
2001-03-18,61.42,63.97,60.79,63.97,7143,63.97
2001-03-19,64.82,67.53,64.02,67.53,4563,67.53
2001-03-20,65.51,67.69,63.94,64.96,2188,64.96
2001-03-21,65.44,67.25,62.4,66.2,7061,66.2
2001-03-22,65.32,67.5,63.54,65.57,6106,65.57
2001-03-23,62.78,63.97,60.88,63.47,2265,63.47
2001-03-24,64.55,65.65,63.3,63.51,6164,63.51
2001-03-25,63.76,65.77,59.83,64.28,1870,64.28
